action,expiration_min,trades,wins,losses,draws,win_rate,max_win_streak,max_loss_streak
CALL,1,214,109,105,6,50.93457943925234,8,5
CALL,2,217,106,111,3,48.8479262672811,9,7
CALL,3,217,113,104,3,52.07373271889401,11,11
CALL,5,219,100,119,1,45.662100456621005,17,8
CALL,10,218,92,126,2,42.201834862385326,14,15
CALL,15,217,92,125,3,42.3963133640553,17,13
PUT,1,215,103,112,6,47.906976744186046,8,7
PUT,2,211,95,116,10,45.023696682464454,8,6
PUT,3,215,92,123,6,42.7906976744186,8,8
PUT,5,217,78,139,4,35.944700460829495,12,14
PUT,10,219,100,119,2,45.662100456621005,12,11
PUT,15,220,96,124,1,43.63636363636363,12,10
