symbol,signal_time,entry_time,expiration_minutes,action,pattern,score,entry_price,exit_time,exit_price,result
EURUSD,2026-09-15T13:16:00+00:00,2026-09-15T13:17:00+00:00,1,PUT,BEARISH_REJECTION,35,1.15463,2026-09-15T13:18:00+00:00,1.15443,WIN
EURUSD,2026-09-15T13:16:00+00:00,2026-09-15T13:17:00+00:00,2,PUT,BEARISH_REJECTION,35,1.15463,2026-09-15T13:19:00+00:00,1.1544,WIN
EURUSD,2026-09-15T13:16:00+00:00,2026-09-15T13:17:00+00:00,3,PUT,BEARISH_REJECTION,35,1.15463,2026-09-15T13:20:00+00:00,1.15444,WIN
EURUSD,2026-09-15T13:16:00+00:00,2026-09-15T13:17:00+00:00,5,PUT,BEARISH_REJECTION,35,1.15463,2026-09-15T13:22:00+00:00,1.15424,WIN
EURUSD,2026-09-15T13:16:00+00:00,2026-09-15T13:17:00+00:00,10,PUT,BEARISH_REJECTION,35,1.15463,2026-09-15T13:27:00+00:00,1.15441,WIN
EURUSD,2026-09-15T13:16:00+00:00,2026-09-15T13:17:00+00:00,15,PUT,BEARISH_REJECTION,35,1.15463,2026-09-15T13:32:00+00:00,1.15393,WIN
EURUSD,2026-09-15T13:18:00+00:00,2026-09-15T13:19:00+00:00,1,PUT,BEARISH_BREAKOUT,39,1.1544,2026-09-15T13:20:00+00:00,1.15444,LOSS
EURUSD,2026-09-15T13:18:00+00:00,2026-09-15T13:19:00+00:00,2,PUT,BEARISH_BREAKOUT,39,1.1544,2026-09-15T13:21:00+00:00,1.15436,WIN
EURUSD,2026-09-15T13:18:00+00:00,2026-09-15T13:19:00+00:00,3,PUT,BEARISH_BREAKOUT,39,1.1544,2026-09-15T13:22:00+00:00,1.15424,WIN
EURUSD,2026-09-15T13:18:00+00:00,2026-09-15T13:19:00+00:00,5,PUT,BEARISH_BREAKOUT,39,1.1544,2026-09-15T13:24:00+00:00,1.15457,LOSS
EURUSD,2026-09-15T13:18:00+00:00,2026-09-15T13:19:00+00:00,10,PUT,BEARISH_BREAKOUT,39,1.1544,2026-09-15T13:29:00+00:00,1.15432,WIN
