pattern,expiration_min,trades,wins,losses,draws,win_rate,max_win_streak,max_loss_streak
BEARISH_BREAKOUT,1,63,32,31,3,50.79365079365079,5,4
BEARISH_BREAKOUT,2,66,29,37,0,43.93939393939394,4,9
BEARISH_BREAKOUT,3,65,31,34,1,47.69230769230769,5,5
BEARISH_BREAKOUT,5,65,20,45,1,30.76923076923077,3,17
BEARISH_BREAKOUT,10,65,28,37,1,43.07692307692308,4,6
BEARISH_BREAKOUT,15,66,32,34,0,48.484848484848484,4,7
BEARISH_CANDLE,1,81,37,44,0,45.67901234567901,7,7
BEARISH_CANDLE,2,78,38,40,3,48.717948717948715,7,5
BEARISH_CANDLE,3,80,39,41,1,48.75,7,6
BEARISH_CANDLE,5,80,37,43,1,46.25,11,9
BEARISH_CANDLE,10,80,38,42,1,47.5,10,6
BEARISH_CANDLE,15,81,41,40,0,50.617283950617285,9,5
BEARISH_ENGULFING,1,30,16,14,3,53.333333333333336,5,3
BEARISH_ENGULFING,2,32,17,15,1,53.125,4,2
BEARISH_ENGULFING,3,32,14,18,1,43.75,3,4
BEARISH_ENGULFING,5,32,13,19,1,40.625,2,4
BEARISH_ENGULFING,10,33,17,16,0,51.515151515151516,5,6
BEARISH_ENGULFING,15,33,15,18,0,45.45454545454545,3,6
BEARISH_IMPULSE,1,3,2,1,0,66.66666666666666,2,1
BEARISH_IMPULSE,2,2,2,0,1,100.0,2,0
BEARISH_IMPULSE,3,3,2,1,0,66.66666666666666,2,1
BEARISH_IMPULSE,5,3,1,2,0,33.33333333333333,1,1
BEARISH_IMPULSE,10,3,2,1,0,66.66666666666666,2,1
BEARISH_IMPULSE,15,3,1,2,0,33.33333333333333,1,2
BEARISH_REJECTION,1,31,12,19,2,38.70967741935484,5,6
BEARISH_REJECTION,2,30,11,19,3,36.666666666666664,5,10
BEARISH_REJECTION,3,32,11,21,1,34.375,2,7
BEARISH_REJECTION,5,32,10,22,1,31.25,2,5
BEARISH_REJECTION,10,33,9,24,0,27.27272727272727,2,6
BEARISH_REJECTION,15,32,10,22,1,31.25,2,5
BULLISH_BREAKOUT,1,64,31,33,3,48.4375,6,5
BULLISH_BREAKOUT,2,66,28,38,1,42.42424242424242,6,9
BULLISH_BREAKOUT,3,66,35,31,1,53.03030303030303,7,7
BULLISH_BREAKOUT,5,67,30,37,0,44.776119402985074,6,7
BULLISH_BREAKOUT,10,67,28,39,0,41.7910447761194,7,10
BULLISH_BREAKOUT,15,67,25,42,0,37.3134328358209,6,13
BULLISH_CANDLE,1,79,42,37,0,53.16455696202531,5,4
BULLISH_CANDLE,2,78,41,37,1,52.56410256410257,6,5
BULLISH_CANDLE,3,78,33,45,1,42.30769230769231,4,6
BULLISH_CANDLE,5,78,30,48,1,38.46153846153847,7,8
BULLISH_CANDLE,10,79,27,52,0,34.177215189873415,3,7
BULLISH_CANDLE,15,76,26,50,3,34.21052631578947,8,8
BULLISH_ENGULFING,1,26,15,11,0,57.692307692307686,3,3
BULLISH_ENGULFING,2,24,11,13,2,45.83333333333333,3,4
BULLISH_ENGULFING,3,24,13,11,2,54.166666666666664,4,3
BULLISH_ENGULFING,5,26,10,16,0,38.46153846153847,3,5
BULLISH_ENGULFING,10,25,13,12,1,52.0,4,5
BULLISH_ENGULFING,15,26,12,14,0,46.15384615384615,2,5
BULLISH_IMPULSE,1,7,3,4,0,42.857142857142854,2,3
BULLISH_IMPULSE,2,6,4,2,1,66.66666666666666,2,2
BULLISH_IMPULSE,3,7,3,4,0,42.857142857142854,1,2
BULLISH_IMPULSE,5,7,5,2,0,71.42857142857143,3,1
BULLISH_IMPULSE,10,7,4,3,0,57.14285714285714,3,2
BULLISH_IMPULSE,15,7,4,3,0,57.14285714285714,3,2
BULLISH_REJECTION,1,45,22,23,1,48.888888888888886,7,7
BULLISH_REJECTION,2,46,20,26,0,43.47826086956522,4,7
BULLISH_REJECTION,3,45,24,21,1,53.333333333333336,5,4
BULLISH_REJECTION,5,46,22,24,0,47.82608695652174,3,6
BULLISH_REJECTION,10,45,26,19,1,57.77777777777777,7,4
BULLISH_REJECTION,15,46,22,24,0,47.82608695652174,9,6
