symbol,expiration_min,trades,wins,losses,draws,win_rate,max_win_streak,max_loss_streak
EURUSD,1,138,61,77,4,44.20289855072464,5,7
EURUSD,2,137,58,79,5,42.33576642335766,4,9
EURUSD,3,139,66,73,3,47.482014388489205,7,6
EURUSD,5,139,53,86,3,38.1294964028777,5,11
EURUSD,10,141,51,90,1,36.17021276595745,7,10
EURUSD,15,140,48,92,2,34.285714285714285,6,11
GBPUSD,1,143,69,74,5,48.25174825174825,5,7
GBPUSD,2,143,70,73,5,48.95104895104895,8,8
GBPUSD,3,143,68,75,5,47.55244755244755,11,9
GBPUSD,5,146,61,85,2,41.78082191780822,10,10
GBPUSD,10,147,72,75,1,48.97959183673469,10,9
GBPUSD,15,147,72,75,1,48.97959183673469,11,11
USDJPY,1,148,82,66,3,55.4054054054054,8,5
USDJPY,2,148,73,75,3,49.32432432432432,8,6
USDJPY,3,150,71,79,1,47.333333333333336,8,6
USDJPY,5,151,64,87,0,42.384105960264904,12,13
USDJPY,10,149,69,80,2,46.308724832214764,10,14
USDJPY,15,150,68,82,1,45.33333333333333,9,9
