symbol,signal_time,entry_time,exit_time,expiration,signal,score,pattern,entry,exit,result
EURUSD,2026-09-15 13:02:00+00:00,2026-09-15 13:03:00+00:00,2026-09-15 13:04:00+00:00,1,CALL,5,BULLISH_IMPULSE,1.15469,1.15478,WIN
EURUSD,2026-09-15 13:04:00+00:00,2026-09-15 13:05:00+00:00,2026-09-15 13:06:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15473,1.15471,LOSS
EURUSD,2026-09-15 13:07:00+00:00,2026-09-15 13:08:00+00:00,2026-09-15 13:09:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15461,1.15467,LOSS
EURUSD,2026-09-15 13:08:00+00:00,2026-09-15 13:09:00+00:00,2026-09-15 13:10:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.15467,1.15479,LOSS
EURUSD,2026-09-15 13:09:00+00:00,2026-09-15 13:10:00+00:00,2026-09-15 13:11:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15479,1.15477,LOSS
EURUSD,2026-09-15 13:10:00+00:00,2026-09-15 13:11:00+00:00,2026-09-15 13:12:00+00:00,1,CALL,5,BULLISH_IMPULSE,1.15477,1.15476,LOSS
EURUSD,2026-09-15 13:13:00+00:00,2026-09-15 13:14:00+00:00,2026-09-15 13:15:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.15473,1.15463,WIN
EURUSD,2026-09-15 13:14:00+00:00,2026-09-15 13:15:00+00:00,2026-09-15 13:16:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15463,1.15461,LOSS
EURUSD,2026-09-15 13:15:00+00:00,2026-09-15 13:16:00+00:00,2026-09-15 13:17:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.15461,1.15463,LOSS
EURUSD,2026-09-15 13:16:00+00:00,2026-09-15 13:17:00+00:00,2026-09-15 13:18:00+00:00,1,PUT,5,BEARISH_REJECTION,1.15463,1.15443,WIN
EURUSD,2026-09-15 13:18:00+00:00,2026-09-15 13:19:00+00:00,2026-09-15 13:20:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.1544,1.15444,LOSS
EURUSD,2026-09-15 13:19:00+00:00,2026-09-15 13:20:00+00:00,2026-09-15 13:21:00+00:00,1,PUT,5,BEARISH_BREAKOUT,1.15444,1.15436,WIN
EURUSD,2026-09-15 13:21:00+00:00,2026-09-15 13:22:00+00:00,2026-09-15 13:23:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15424,1.15454,LOSS
EURUSD,2026-09-15 13:22:00+00:00,2026-09-15 13:23:00+00:00,2026-09-15 13:24:00+00:00,1,PUT,5,BEARISH_BREAKOUT,1.15454,1.15457,LOSS
EURUSD,2026-09-15 13:26:00+00:00,2026-09-15 13:27:00+00:00,2026-09-15 13:28:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15441,1.15442,LOSS
EURUSD,2026-09-15 13:27:00+00:00,2026-09-15 13:28:00+00:00,2026-09-15 13:29:00+00:00,1,PUT,6,BEARISH_IMPULSE,1.15442,1.15432,WIN
EURUSD,2026-09-15 13:29:00+00:00,2026-09-15 13:30:00+00:00,2026-09-15 13:31:00+00:00,1,PUT,6,BEARISH_IMPULSE,1.15413,1.15418,LOSS
EURUSD,2026-09-15 13:30:00+00:00,2026-09-15 13:31:00+00:00,2026-09-15 13:32:00+00:00,1,PUT,6,BEARISH_IMPULSE,1.15418,1.15393,WIN
EURUSD,2026-09-15 13:34:00+00:00,2026-09-15 13:35:00+00:00,2026-09-15 13:36:00+00:00,1,PUT,6,BEARISH_REJECTION,1.15422,1.15433,LOSS
EURUSD,2026-09-15 13:37:00+00:00,2026-09-15 13:38:00+00:00,2026-09-15 13:39:00+00:00,1,PUT,5,BEARISH_REJECTION,1.15422,1.15412,WIN
EURUSD,2026-09-15 13:38:00+00:00,2026-09-15 13:39:00+00:00,2026-09-15 13:40:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15412,1.15422,LOSS
EURUSD,2026-09-15 13:39:00+00:00,2026-09-15 13:40:00+00:00,2026-09-15 13:41:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15422,1.1542,WIN
EURUSD,2026-09-15 13:41:00+00:00,2026-09-15 13:42:00+00:00,2026-09-15 13:43:00+00:00,1,PUT,5,BEARISH_REJECTION,1.15429,1.15432,LOSS
EURUSD,2026-09-15 13:44:00+00:00,2026-09-15 13:45:00+00:00,2026-09-15 13:46:00+00:00,1,CALL,5,BULLISH_IMPULSE,1.15438,1.1546,WIN
EURUSD,2026-09-15 13:46:00+00:00,2026-09-15 13:47:00+00:00,2026-09-15 13:48:00+00:00,1,CALL,5,BULLISH_IMPULSE,1.15459,1.15458,LOSS
EURUSD,2026-09-15 13:49:00+00:00,2026-09-15 13:50:00+00:00,2026-09-15 13:51:00+00:00,1,CALL,5,BULLISH_IMPULSE,1.15475,1.15489,WIN
EURUSD,2026-09-15 13:50:00+00:00,2026-09-15 13:51:00+00:00,2026-09-15 13:52:00+00:00,1,CALL,6,BULLISH_REJECTION,1.15489,1.15488,LOSS
EURUSD,2026-09-15 13:51:00+00:00,2026-09-15 13:52:00+00:00,2026-09-15 13:53:00+00:00,1,CALL,6,BULLISH_IMPULSE,1.15488,1.15491,WIN
EURUSD,2026-09-15 13:53:00+00:00,2026-09-15 13:54:00+00:00,2026-09-15 13:55:00+00:00,1,CALL,6,BULLISH_REJECTION,1.15499,1.15508,WIN
EURUSD,2026-09-15 14:02:00+00:00,2026-09-15 14:03:00+00:00,2026-09-15 14:04:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15476,1.1546,LOSS
EURUSD,2026-09-15 14:04:00+00:00,2026-09-15 14:05:00+00:00,2026-09-15 14:06:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.15466,1.15468,LOSS
EURUSD,2026-09-15 14:07:00+00:00,2026-09-15 14:08:00+00:00,2026-09-15 14:09:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15471,1.15481,WIN
EURUSD,2026-09-15 14:08:00+00:00,2026-09-15 14:09:00+00:00,2026-09-15 14:10:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15481,1.15477,WIN
EURUSD,2026-09-15 14:09:00+00:00,2026-09-15 14:10:00+00:00,2026-09-15 14:11:00+00:00,1,CALL,5,BULLISH_IMPULSE,1.15477,1.15477,LOSS
EURUSD,2026-09-15 14:13:00+00:00,2026-09-15 14:14:00+00:00,2026-09-15 14:15:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15483,1.15489,WIN
EURUSD,2026-09-15 14:14:00+00:00,2026-09-15 14:15:00+00:00,2026-09-15 14:16:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15489,1.15478,LOSS
EURUSD,2026-09-15 14:15:00+00:00,2026-09-15 14:16:00+00:00,2026-09-15 14:17:00+00:00,1,CALL,5,BULLISH_BREAKOUT,1.15478,1.15468,LOSS
EURUSD,2026-09-15 14:17:00+00:00,2026-09-15 14:18:00+00:00,2026-09-15 14:19:00+00:00,1,PUT,5,BEARISH_BREAKOUT,1.15455,1.15479,LOSS
EURUSD,2026-09-15 14:18:00+00:00,2026-09-15 14:19:00+00:00,2026-09-15 14:20:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.15479,1.15473,WIN
EURUSD,2026-09-15 14:26:00+00:00,2026-09-15 14:27:00+00:00,2026-09-15 14:28:00+00:00,1,CALL,6,BULLISH_BREAKOUT,1.15488,1.15473,LOSS
EURUSD,2026-09-15 14:33:00+00:00,2026-09-15 14:34:00+00:00,2026-09-15 14:35:00+00:00,1,CALL,6,BULLISH_CANDLE,1.15477,1.1546,LOSS
EURUSD,2026-09-15 14:37:00+00:00,2026-09-15 14:38:00+00:00,2026-09-15 14:39:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.15416,1.15412,WIN
EURUSD,2026-09-15 14:38:00+00:00,2026-09-15 14:39:00+00:00,2026-09-15 14:40:00+00:00,1,PUT,6,BEARISH_CANDLE,1.15412,1.15417,LOSS
EURUSD,2026-09-15 14:43:00+00:00,2026-09-15 14:44:00+00:00,2026-09-15 14:45:00+00:00,1,PUT,6,BEARISH_CANDLE,1.15427,1.15434,LOSS
EURUSD,2026-09-15 14:44:00+00:00,2026-09-15 14:45:00+00:00,2026-09-15 14:46:00+00:00,1,PUT,6,BEARISH_REJECTION,1.15434,1.15445,LOSS
EURUSD,2026-09-15 14:47:00+00:00,2026-09-15 14:48:00+00:00,2026-09-15 14:49:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15439,1.15432,WIN
EURUSD,2026-09-15 14:48:00+00:00,2026-09-15 14:49:00+00:00,2026-09-15 14:50:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15432,1.15443,LOSS
EURUSD,2026-09-15 14:49:00+00:00,2026-09-15 14:50:00+00:00,2026-09-15 14:51:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15443,1.15445,LOSS
EURUSD,2026-09-15 14:52:00+00:00,2026-09-15 14:53:00+00:00,2026-09-15 14:54:00+00:00,1,CALL,5,BULLISH_BREAKOUT,1.15454,1.15464,WIN
EURUSD,2026-09-15 15:01:00+00:00,2026-09-15 15:02:00+00:00,2026-09-15 15:03:00+00:00,1,PUT,6,BEARISH_CANDLE,1.15412,1.15436,LOSS
EURUSD,2026-09-15 15:02:00+00:00,2026-09-15 15:03:00+00:00,2026-09-15 15:04:00+00:00,1,PUT,6,BEARISH_IMPULSE,1.15436,1.15438,LOSS
EURUSD,2026-09-15 15:06:00+00:00,2026-09-15 15:07:00+00:00,2026-09-15 15:08:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15433,1.15429,LOSS
EURUSD,2026-09-15 15:07:00+00:00,2026-09-15 15:08:00+00:00,2026-09-15 15:09:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.15429,1.15434,LOSS
EURUSD,2026-09-15 15:08:00+00:00,2026-09-15 15:09:00+00:00,2026-09-15 15:10:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.15434,1.15435,LOSS
EURUSD,2026-09-15 15:17:00+00:00,2026-09-15 15:18:00+00:00,2026-09-15 15:19:00+00:00,1,PUT,6,BEARISH_IMPULSE,1.1543,1.15433,LOSS
EURUSD,2026-09-15 15:41:00+00:00,2026-09-15 15:42:00+00:00,2026-09-15 15:43:00+00:00,1,PUT,6,BEARISH_CANDLE,1.15409,1.15411,LOSS
EURUSD,2026-09-15 15:42:00+00:00,2026-09-15 15:43:00+00:00,2026-09-15 15:44:00+00:00,1,PUT,6,BEARISH_CANDLE,1.15411,1.15406,WIN
EURUSD,2026-09-15 15:44:00+00:00,2026-09-15 15:45:00+00:00,2026-09-15 15:46:00+00:00,1,PUT,6,BEARISH_REJECTION,1.15397,1.15409,LOSS
EURUSD,2026-09-15 15:45:00+00:00,2026-09-15 15:46:00+00:00,2026-09-15 15:47:00+00:00,1,PUT,6,BEARISH_IMPULSE,1.15409,1.15408,WIN
EURUSD,2026-09-15 15:47:00+00:00,2026-09-15 15:48:00+00:00,2026-09-15 15:49:00+00:00,1,PUT,6,BEARISH_REJECTION,1.1541,1.15391,WIN
EURUSD,2026-09-15 15:49:00+00:00,2026-09-15 15:50:00+00:00,2026-09-15 15:51:00+00:00,1,PUT,6,BEARISH_IMPULSE,1.1541,1.15403,WIN
EURUSD,2026-09-15 15:51:00+00:00,2026-09-15 15:52:00+00:00,2026-09-15 15:53:00+00:00,1,PUT,6,BEARISH_IMPULSE,1.15414,1.15418,LOSS
EURUSD,2026-09-15 15:53:00+00:00,2026-09-15 15:54:00+00:00,2026-09-15 15:55:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15401,1.15431,WIN
EURUSD,2026-09-15 15:54:00+00:00,2026-09-15 15:55:00+00:00,2026-09-15 15:56:00+00:00,1,PUT,5,BEARISH_IMPULSE,1.15431,1.15414,WIN
EURUSD,2026-09-15 15:55:00+00:00,2026-09-15 15:56:00+00:00,2026-09-15 15:57:00+00:00,1,CALL,5,BULLISH_IMPULSE,1.15414,1.15414,LOSS
EURUSD,2026-09-15 15:56:00+00:00,2026-09-15 15:57:00+00:00,2026-09-15 15:58:00+00:00,1,PUT,5,BEARISH_CANDLE,1.15414,1.15418,LOSS
EURUSD,2026-09-15 15:58:00+00:00,2026-09-15 15:59:00+00:00,2026-09-15 16:00:00+00:00,1,CALL,5,BULLISH_CANDLE,1.15417,1.15416,LOSS
EURUSD,2026-09-15 16:24:00+00:00,2026-09-15 16:25:00+00:00,2026-09-15 16:26:00+00:00,1,CALL,5,BULLISH_IMPULSE,1.15407,1.15411,WIN
