symbol,expiration_min,trades,wins,losses,ties,win_rate,profit_factor,expectancy_per_trade,net_units,max_drawdown_units,longest_win_streak,longest_loss_streak,break_even_win_rate
AUDUSD,1,23,11,11,1,50.0,0.8,-0.09565,-2.2,-5.2,4,3,55.56
AUDUSD,2,23,9,12,2,42.86,0.6,-0.2087,-4.8,-6.2,2,4,55.56
AUDUSD,3,23,10,12,1,45.45,0.6667,-0.17391,-4.0,-8.0,2,4,55.56
AUDUSD,5,23,8,15,0,34.78,0.4267,-0.37391,-8.6,-9.0,3,4,55.56
EURUSD,1,30,16,12,2,57.14,1.0667,0.02667,0.8,-5.0,6,2,55.56
EURUSD,2,30,18,12,0,60.0,1.2,0.08,2.4,-3.2,8,3,55.56
EURUSD,3,30,19,10,1,65.52,1.52,0.17333,5.2,-5.0,7,5,55.56
EURUSD,5,30,16,14,0,53.33,0.9143,-0.04,-1.2,-6.0,6,6,55.56
GBPUSD,1,29,15,12,2,55.56,1.0,0.0,0.0,-5.2,3,5,55.56
GBPUSD,2,29,18,11,0,62.07,1.3091,0.11724,3.4,-4.0,5,4,55.56
GBPUSD,3,29,19,10,0,65.52,1.52,0.17931,5.2,-6.2,5,5,55.56
GBPUSD,5,29,16,11,2,59.26,1.1636,0.06207,1.8,-5.2,5,3,55.56
NZDUSD,1,24,10,12,2,45.45,0.6667,-0.16667,-4.0,-5.0,2,5,55.56
NZDUSD,2,24,8,13,3,38.1,0.4923,-0.275,-6.6,-7.4,3,3,55.56
NZDUSD,3,24,9,13,2,40.91,0.5538,-0.24167,-5.8,-7.4,3,4,55.56
NZDUSD,5,24,9,13,2,40.91,0.5538,-0.24167,-5.8,-6.6,2,6,55.56
USDCAD,1,29,14,14,1,50.0,0.8,-0.09655,-2.8,-4.0,2,3,55.56
USDCAD,2,29,16,12,1,57.14,1.0667,0.02759,0.8,-4.0,3,4,55.56
USDCAD,3,28,13,14,1,48.15,0.7429,-0.12857,-3.6,-6.4,2,4,55.56
USDCAD,5,27,10,13,4,43.48,0.6154,-0.18519,-5.0,-6.0,2,3,55.56
USDCHF,1,24,13,11,0,54.17,0.9455,-0.025,-0.6,-3.4,4,2,55.56
USDCHF,2,24,10,14,0,41.67,0.5714,-0.25,-6.0,-8.0,3,4,55.56
USDCHF,3,24,10,13,1,43.48,0.6154,-0.20833,-5.0,-7.6,3,4,55.56
USDCHF,5,24,10,14,0,41.67,0.5714,-0.25,-6.0,-7.6,2,4,55.56
USDJPY,1,31,15,14,2,51.72,0.8571,-0.06452,-2.0,-4.4,3,3,55.56
USDJPY,2,31,15,16,0,48.39,0.75,-0.12903,-4.0,-6.0,4,3,55.56
USDJPY,3,31,14,17,0,45.16,0.6588,-0.1871,-5.8,-7.0,3,6,55.56
USDJPY,5,31,19,12,0,61.29,1.2667,0.10323,3.2,-3.2,4,2,55.56
