expiration_min,hour_utc,trades,wins,losses,ties,win_rate,profit_factor,expectancy_per_trade,net_units,max_drawdown_units,longest_win_streak,longest_loss_streak,break_even_win_rate
1,13,3,3,0,0,100.0,INF,0.8,2.4,0.0,3,0,55.56
1,14,47,26,20,1,56.52,1.04,0.01702,0.8,-6.0,8,4,55.56
1,18,9,5,4,0,55.56,1.0,0.0,0.0,-2.0,5,2,55.56
1,17,47,24,20,3,54.55,0.96,-0.01702,-0.8,-9.8,5,4,55.56
1,16,45,20,21,4,48.78,0.7619,-0.11111,-5.0,-9.6,6,4,55.56
1,15,39,16,21,2,43.24,0.6095,-0.21026,-8.2,-8.8,4,4,55.56
2,18,9,6,3,0,66.67,1.6,0.2,1.8,-1.0,6,2,55.56
2,13,3,2,1,0,66.67,1.6,0.2,0.6,0.0,2,1,55.56
2,14,47,24,21,2,53.33,0.9143,-0.0383,-1.8,-5.6,5,5,55.56
2,17,47,23,23,1,50.0,0.8,-0.09787,-4.6,-10.8,4,5,55.56
2,16,45,22,22,1,50.0,0.8,-0.09778,-4.4,-9.0,4,5,55.56
2,15,39,17,20,2,45.95,0.68,-0.1641,-6.4,-6.2,5,4,55.56
3,13,3,3,0,0,100.0,INF,0.8,2.4,0.0,3,0,55.56
3,18,9,6,3,0,66.67,1.6,0.2,1.8,-1.0,6,2,55.56
3,14,47,27,19,1,58.7,1.1368,0.05532,2.6,-3.8,4,3,55.56
3,17,46,21,22,3,48.84,0.7636,-0.11304,-5.2,-10.4,4,4,55.56
3,16,45,20,23,2,46.51,0.6957,-0.15556,-7.0,-12.2,5,7,55.56
3,15,39,17,22,0,43.59,0.6182,-0.21538,-8.4,-8.2,5,4,55.56
5,13,3,3,0,0,100.0,INF,0.8,2.4,0.0,3,0,55.56
5,18,9,6,3,0,66.67,1.6,0.2,1.8,-1.0,6,2,55.56
5,14,47,23,22,2,51.11,0.8364,-0.0766,-3.6,-11.6,11,7,55.56
5,17,45,22,23,0,48.89,0.7652,-0.12,-5.4,-13.0,10,5,55.56
5,15,39,17,19,3,47.22,0.7158,-0.13846,-5.4,-6.0,4,3,55.56
5,16,45,17,25,3,40.48,0.544,-0.25333,-11.4,-16.0,4,7,55.56
