expiration_min,setup,trades,wins,losses,ties,win_rate,profit_factor,expectancy_per_trade,net_units,max_drawdown_units,longest_win_streak,longest_loss_streak,break_even_win_rate
1,BREAKOUT + CONFIRMACIÓN,86,49,33,4,59.76,1.1879,0.07209,6.2,-7.0,9,4,55.56
1,PULLBACK + CONFIRMACIÓN,101,44,51,6,46.32,0.6902,-0.15644,-15.8,-19.0,4,6,55.56
1,CONTINUACIÓN,3,1,2,0,33.33,0.4,-0.4,-1.2,-1.0,1,1,55.56
2,CONTINUACIÓN,3,3,0,0,100.0,INF,0.8,2.4,0.0,3,0,55.56
2,PULLBACK + CONFIRMACIÓN,101,50,48,3,51.02,0.8333,-0.07921,-8.0,-14.2,4,5,55.56
2,BREAKOUT + CONFIRMACIÓN,86,41,42,3,49.4,0.781,-0.10698,-9.2,-12.0,5,8,55.56
3,CONTINUACIÓN,3,3,0,0,100.0,INF,0.8,2.4,0.0,3,0,55.56
3,BREAKOUT + CONFIRMACIÓN,85,43,39,3,52.44,0.8821,-0.05412,-4.6,-14.4,7,7,55.56
3,PULLBACK + CONFIRMACIÓN,101,48,50,3,48.98,0.768,-0.11485,-11.6,-17.8,5,6,55.56
5,CONTINUACIÓN,3,3,0,0,100.0,INF,0.8,2.4,0.0,3,0,55.56
5,BREAKOUT + CONFIRMACIÓN,84,39,41,4,48.75,0.761,-0.11667,-9.8,-12.8,7,9,55.56
5,PULLBACK + CONFIRMACIÓN,101,46,51,4,47.42,0.7216,-0.14059,-14.2,-19.0,5,10,55.56
