expiration_min,strength,trades,wins,losses,ties,win_rate,profit_factor,expectancy_per_trade,net_units,max_drawdown_units,longest_win_streak,longest_loss_streak,break_even_win_rate
1,VERY STRONG,63,36,23,4,61.02,1.2522,0.09206,5.8,-7.2,7,6,55.56
1,GOOD,20,10,9,1,52.63,0.8889,-0.05,-1.0,-4.2,3,3,55.56
1,STRONG,107,48,54,5,47.06,0.7111,-0.14579,-15.6,-15.2,6,8,55.56
2,GOOD,20,11,8,1,57.89,1.1,0.04,0.8,-3.0,4,3,55.56
2,VERY STRONG,63,35,26,2,57.38,1.0769,0.03175,2.0,-8.0,8,8,55.56
2,STRONG,107,48,56,3,46.15,0.6857,-0.16449,-17.6,-20.6,5,6,55.56
3,VERY STRONG,63,38,24,1,61.29,1.2667,0.10159,6.4,-6.2,8,4,55.56
3,GOOD,20,11,8,1,57.89,1.1,0.04,0.8,-2.8,3,2,55.56
3,STRONG,106,45,57,4,44.12,0.6316,-0.19811,-21.0,-24.8,4,8,55.56
5,VERY STRONG,63,36,24,3,60.0,1.2,0.07619,4.8,-8.0,6,8,55.56
5,GOOD,20,9,10,1,47.37,0.72,-0.14,-2.8,-5.6,2,5,55.56
5,STRONG,105,43,58,4,42.57,0.5931,-0.22476,-23.6,-24.2,5,6,55.56
